model_type,learning_rate,batch_size,final_loss,final_accuracy,epochs_trained,training_time_seconds,model_path
dense,0.0001,256,6850.26123046875,0.3885999917984009,8,15.622045278549194,./model_weights/dense_lr0.0001_bs256.keras
dense,0.0001,512,6450.2666015625,0.42899999022483826,10,16.77506995201111,./model_weights/dense_lr0.0001_bs512.keras
dense,0.0001,1024,6493.556640625,0.3583666682243347,10,16.352915048599243,./model_weights/dense_lr0.0001_bs1024.keras
dense,0.001,256,7557.1875,0.44013333320617676,9,16.96418309211731,./model_weights/dense_lr0.001_bs256.keras
dense,0.001,512,7367.8037109375,0.27079999446868896,7,12.374912023544312,./model_weights/dense_lr0.001_bs512.keras
dense,0.001,1024,6968.96337890625,0.3230666518211365,8,13.839251041412354,./model_weights/dense_lr0.001_bs1024.keras
dense,0.005,256,7381.3603515625,0.3869999945163727,6,11.984522104263306,./model_weights/dense_lr0.005_bs256.keras
dense,0.005,512,7311.86181640625,0.2560666799545288,10,17.19050884246826,./model_weights/dense_lr0.005_bs512.keras
dense,0.005,1024,6917.34814453125,0.2779666781425476,10,16.350317001342773,./model_weights/dense_lr0.005_bs1024.keras
lstm,0.0001,256,6957.99560546875,0.4895135164260864,10,23.88263988494873,./model_weights/lstm_lr0.0001_bs256.keras
lstm,0.0001,512,6957.3134765625,0.47690972685813904,10,20.45220375061035,./model_weights/lstm_lr0.0001_bs512.keras
lstm,0.0001,1024,6960.46533203125,0.7360875010490417,10,19.46248698234558,./model_weights/lstm_lr0.0001_bs1024.keras
lstm,0.001,256,6634.98291015625,0.8077756762504578,10,23.3867666721344,./model_weights/lstm_lr0.001_bs256.keras
lstm,0.001,512,6607.59814453125,0.8077756762504578,10,20.704987049102783,./model_weights/lstm_lr0.001_bs512.keras
lstm,0.001,1024,6632.2470703125,0.8077756762504578,10,19.70658588409424,./model_weights/lstm_lr0.001_bs1024.keras
lstm,0.005,256,5190.58056640625,0.8077756762504578,10,22.642737865447998,./model_weights/lstm_lr0.005_bs256.keras
lstm,0.005,512,5240.22900390625,0.806842029094696,10,20.557909965515137,./model_weights/lstm_lr0.005_bs512.keras
lstm,0.005,1024,5267.810546875,0.8077756762504578,10,19.80473494529724,./model_weights/lstm_lr0.005_bs1024.keras
conv,0.0001,256,3775.2451171875,0.8081424236297607,10,20.151385068893433,./model_weights/conv_lr0.0001_bs256.keras
conv,0.0001,512,3567.8564453125,0.8068754076957703,10,18.7452712059021,./model_weights/conv_lr0.0001_bs512.keras
conv,0.0001,1024,3867.0966796875,0.8025407791137695,10,17.092556953430176,./model_weights/conv_lr0.0001_bs1024.keras
conv,0.001,256,2513.477783203125,0.8079090118408203,10,19.30851411819458,./model_weights/conv_lr0.001_bs256.keras
conv,0.001,512,2594.625732421875,0.8077756762504578,10,17.759702920913696,./model_weights/conv_lr0.001_bs512.keras
conv,0.001,1024,2544.804443359375,0.8077756762504578,10,16.708099842071533,./model_weights/conv_lr0.001_bs1024.keras
conv,0.005,256,2770.175048828125,0.8077756762504578,7,13.934815168380737,./model_weights/conv_lr0.005_bs256.keras
