model_type,learning_rate,batch_size,sequence_length,batch_normalization,final_loss,final_accuracy,epochs_trained,training_time_seconds,model_path
conv_0,0.0001,512,5,OFF,6932.8291015625,0.8011401295661926,10,3.044496774673462,./model_weights/conv_0_5_OFF.keras
conv_0,0.0001,512,5,ON,6966.20166015625,0.37468329071998596,10,3.2821080684661865,./model_weights/conv_0_5_ON.keras
conv_0,0.0001,512,10,OFF,6933.802734375,0.8055750131607056,10,3.1912989616394043,./model_weights/conv_0_10_OFF.keras
conv_0,0.0001,512,10,ON,6962.515625,0.47944381833076477,10,3.7501280307769775,./model_weights/conv_0_10_ON.keras
conv_0,0.0001,512,15,OFF,6935.34521484375,0.7977722883224487,10,3.2675797939300537,./model_weights/conv_0_15_OFF.keras
conv_0,0.0001,512,15,ON,6961.78466796875,0.5161074995994568,10,4.079603910446167,./model_weights/conv_0_15_ON.keras
conv_0,0.0001,512,20,OFF,6936.42626953125,0.8009739518165588,10,3.3083717823028564,./model_weights/conv_0_20_OFF.keras
conv_0,0.0001,512,20,ON,6962.20458984375,0.5573530197143555,10,4.211364984512329,./model_weights/conv_0_20_ON.keras
conv_1,0.0001,512,5,OFF,6974.47265625,0.057907722890377045,10,3.6660280227661133,./model_weights/conv_1_5_OFF.keras
conv_1,0.0001,512,5,ON,6945.52392578125,0.6889918446540833,10,4.586652755737305,./model_weights/conv_1_5_ON.keras
conv_1,0.0001,512,10,OFF,6933.646484375,0.8075422644615173,10,3.9559412002563477,./model_weights/conv_1_10_OFF.keras
conv_1,0.0001,512,10,ON,6946.638671875,0.6533960103988647,10,5.27433705329895,./model_weights/conv_1_10_ON.keras
conv_1,0.0001,512,15,OFF,6934.8408203125,0.8064096570014954,10,4.065949201583862,./model_weights/conv_1_15_OFF.keras
conv_1,0.0001,512,15,ON,6946.40966796875,0.6605749130249023,10,5.89489483833313,./model_weights/conv_1_15_ON.keras
conv_1,0.0001,512,20,OFF,6936.09033203125,0.8056102395057678,10,4.548723936080933,./model_weights/conv_1_20_OFF.keras
conv_1,0.0001,512,20,ON,6950.08203125,0.6518795490264893,10,6.497899055480957,./model_weights/conv_1_20_ON.keras
conv_2,0.0001,512,5,OFF,6932.63427734375,0.807541012763977,10,4.669159889221191,./model_weights/conv_2_5_OFF.keras
conv_2,0.0001,512,5,ON,6946.12060546875,0.6205827593803406,10,5.684943199157715,./model_weights/conv_2_5_ON.keras
