Model_Name,Arch,Layers,Seq_Length,BatchNorm,final_loss,training_time_seconds
dense_10_5_OFF,dense,10,5,OFF,6901.847784527277,8.342147827148438
dense_10_5_ON,dense,10,5,ON,6913.879797983977,9.724079370498657
dense_10_10_OFF,dense,10,10,OFF,6902.0191340042375,7.988213300704956
dense_10_10_ON,dense,10,10,ON,6915.706718832759,10.17309832572937
dense_10_15_OFF,dense,10,15,OFF,6902.132868362685,7.926345348358154
dense_10_15_ON,dense,10,15,ON,6914.703842938957,9.932186365127563
dense_10_20_OFF,dense,10,20,OFF,6902.171227406648,8.27582573890686
dense_10_20_ON,dense,10,20,ON,6916.29298116393,9.93670392036438
lstm_10_5_OFF,lstm,10,5,OFF,6902.833003674524,12.797486782073975
lstm_10_5_ON,lstm,10,5,ON,6902.112240548861,16.718653678894043
lstm_10_10_OFF,lstm,10,10,OFF,6903.492506124206,12.907435655593872
lstm_10_10_ON,lstm,10,10,ON,6902.185060662739,16.767964363098145
lstm_10_15_OFF,lstm,10,15,OFF,6903.306154412739,12.817609071731567
lstm_10_15_ON,lstm,10,15,ON,6902.521217475503,16.873358011245728
lstm_10_20_OFF,lstm,10,20,OFF,6903.869682699947,12.821986675262451
lstm_10_20_ON,lstm,10,20,ON,6902.425098483845,16.960692644119263
