model_type,sequence_length,batch_normalization,final_loss,training_time_seconds,model_path
dense_only,10,OFF,0.4109067825101104,14.96078872680664,./torch_model_weights\torch_dense_only_1_128_16_10_False.pt
dense_only,10,ON,0.4086507386324711,14.810397148132324,./torch_model_weights\torch_dense_only_1_128_16_10_True.pt
dense_only,20,OFF,0.4134965376612033,14.634038925170898,./torch_model_weights\torch_dense_only_1_128_16_20_False.pt
dense_only,20,ON,0.4133756252714633,15.054438352584839,./torch_model_weights\torch_dense_only_1_128_16_20_True.pt
dense_only,10,OFF,0.46216923574779484,14.511739253997803,./torch_model_weights\torch_dense_only_2_128_16_10_False.pt
dense_only,10,ON,0.4118836547879164,15.72521424293518,./torch_model_weights\torch_dense_only_2_128_16_10_True.pt
dense_only,20,OFF,0.6118411155402838,14.915549278259277,./torch_model_weights\torch_dense_only_2_128_16_20_False.pt
dense_only,20,ON,0.433645176326277,16.346510648727417,./torch_model_weights\torch_dense_only_2_128_16_20_True.pt
dense_only,10,OFF,0.46118178962667483,16.015412092208862,./torch_model_weights\torch_dense_only_3_128_16_10_False.pt
dense_only,10,ON,0.4512910253387664,17.446927785873413,./torch_model_weights\torch_dense_only_3_128_16_10_True.pt
dense_only,20,OFF,0.4659814674713284,16.383177042007446,./torch_model_weights\torch_dense_only_3_128_16_20_False.pt
dense_only,20,ON,0.48531900477740975,17.904308557510376,./torch_model_weights\torch_dense_only_3_128_16_20_True.pt
dense_only,10,OFF,0.6148293675699349,16.55177354812622,./torch_model_weights\torch_dense_only_4_128_16_10_False.pt
dense_only,10,ON,0.5072193105367625,17.710115432739258,./torch_model_weights\torch_dense_only_4_128_16_10_True.pt
dense_only,20,OFF,0.6182416881899364,16.89493703842163,./torch_model_weights\torch_dense_only_4_128_16_20_False.pt
dense_only,20,ON,0.4883643232803126,17.674227714538574,./torch_model_weights\torch_dense_only_4_128_16_20_True.pt
dense_only,10,OFF,0.4606827518707921,17.47458529472351,./torch_model_weights\torch_dense_only_5_128_16_10_False.pt
dense_only,10,ON,0.5093551542232196,17.922218561172485,./torch_model_weights\torch_dense_only_5_128_16_10_True.pt
dense_only,20,OFF,0.4623919502096996,17.46035671234131,./torch_model_weights\torch_dense_only_5_128_16_20_False.pt
dense_only,20,ON,0.5234084478500094,17.91837167739868,./torch_model_weights\torch_dense_only_5_128_16_20_True.pt
dense_only,10,OFF,0.6118660174301016,18.09724521636963,./torch_model_weights\torch_dense_only_6_128_16_10_False.pt
dense_only,10,ON,0.5270649426728552,19.47140145301819,./torch_model_weights\torch_dense_only_6_128_16_10_True.pt
dense_only,20,OFF,0.5376887550369829,18.0736825466156,./torch_model_weights\torch_dense_only_6_128_16_20_False.pt
dense_only,20,ON,0.5450565511063982,17.761464834213257,./torch_model_weights\torch_dense_only_6_128_16_20_True.pt
dense_only,10,OFF,0.46539268425762154,17.901659965515137,./torch_model_weights\torch_dense_only_8_128_16_10_False.pt
dense_only,10,ON,0.5345031326086841,18.444449186325073,./torch_model_weights\torch_dense_only_8_128_16_10_True.pt
dense_only,20,OFF,0.6104358909599761,17.440287113189697,./torch_model_weights\torch_dense_only_8_128_16_20_False.pt
dense_only,20,ON,0.5362351361630713,18.68663763999939,./torch_model_weights\torch_dense_only_8_128_16_20_True.pt
conv_only,10,OFF,0.4023095421270214,14.227036952972412,./torch_model_weights\torch_conv_only_1_16_64_10_False.pt
conv_only,10,ON,0.40223266994550505,14.76498031616211,./torch_model_weights\torch_conv_only_1_16_64_10_True.pt
conv_only,20,OFF,0.4080698358929502,15.428290605545044,./torch_model_weights\torch_conv_only_1_16_64_20_False.pt
conv_only,20,ON,0.3868780496020572,16.581412315368652,./torch_model_weights\torch_conv_only_1_16_64_20_True.pt
conv_only,10,OFF,0.472060891831769,16.917800426483154,./torch_model_weights\torch_conv_only_2_16_64_10_False.pt
conv_only,10,ON,0.3978851251784856,16.586238384246826,./torch_model_weights\torch_conv_only_2_16_64_10_True.pt
conv_only,20,OFF,0.48214953652014625,17.022310733795166,./torch_model_weights\torch_conv_only_2_16_64_20_False.pt
conv_only,20,ON,0.38259640495182534,17.52756142616272,./torch_model_weights\torch_conv_only_2_16_64_20_True.pt
conv_only,10,OFF,0.6125577189603869,17.335973501205444,./torch_model_weights\torch_conv_only_3_16_64_10_False.pt
conv_only,10,ON,0.4030339140699011,18.563332557678223,./torch_model_weights\torch_conv_only_3_16_64_10_True.pt
conv_only,20,OFF,0.4521445378570201,16.94022035598755,./torch_model_weights\torch_conv_only_3_16_64_20_False.pt
conv_only,20,ON,0.4175193308958882,16.306762218475342,./torch_model_weights\torch_conv_only_3_16_64_20_True.pt
conv_only,10,OFF,0.6134371226489184,17.423891305923462,./torch_model_weights\torch_conv_only_4_16_64_10_False.pt
conv_only,10,ON,0.4153437347769209,19.055643320083618,./torch_model_weights\torch_conv_only_4_16_64_10_True.pt
conv_only,20,OFF,0.6120673164445481,15.978442192077637,./torch_model_weights\torch_conv_only_4_16_64_20_False.pt
conv_only,20,ON,0.4422910604207822,16.86480689048767,./torch_model_weights\torch_conv_only_4_16_64_20_True.pt
conv_only,10,OFF,0.6156487135510172,18.1416015625,./torch_model_weights\torch_conv_only_5_16_64_10_False.pt
conv_only,10,ON,0.44211218936696683,18.30514097213745,./torch_model_weights\torch_conv_only_5_16_64_10_True.pt
conv_only,20,OFF,0.612740247179265,16.22252345085144,./torch_model_weights\torch_conv_only_5_16_64_20_False.pt
conv_only,20,ON,0.43178482071230734,17.94277286529541,./torch_model_weights\torch_conv_only_5_16_64_20_True.pt
conv_only,10,OFF,0.6154469781488191,17.443259477615356,./torch_model_weights\torch_conv_only_6_16_64_10_False.pt
conv_only,10,ON,0.4298854153597726,18.49911117553711,./torch_model_weights\torch_conv_only_6_16_64_10_True.pt
conv_only,20,OFF,0.6135582332763212,17.330265045166016,./torch_model_weights\torch_conv_only_6_16_64_20_False.pt
conv_only,20,ON,0.48195742660588115,18.279310941696167,./torch_model_weights\torch_conv_only_6_16_64_20_True.pt
conv_only,10,OFF,0.6106193307820097,18.010527849197388,./torch_model_weights\torch_conv_only_8_16_64_10_False.pt
conv_only,10,ON,0.44359546713872605,19.33993697166443,./torch_model_weights\torch_conv_only_8_16_64_10_True.pt
conv_only,20,OFF,0.6142701811218456,17.887493133544922,./torch_model_weights\torch_conv_only_8_16_64_20_False.pt
conv_only,20,ON,0.47447285003529466,19.06575584411621,./torch_model_weights\torch_conv_only_8_16_64_20_True.pt
lstm_only,10,OFF,0.4686499878698071,20.14964246749878,./torch_model_weights\torch_lstm_only_1_32_18_6_10_False.pt
lstm_only,10,ON,0.4108735686858392,21.563903331756592,./torch_model_weights\torch_lstm_only_1_32_18_6_10_True.pt
lstm_only,20,OFF,0.44295440800854546,27.704864740371704,./torch_model_weights\torch_lstm_only_1_32_18_6_20_False.pt
lstm_only,20,ON,0.47154157810562514,28.969085216522217,./torch_model_weights\torch_lstm_only_1_32_18_6_20_True.pt
lstm_only,10,OFF,0.4641794349030239,20.34206795692444,./torch_model_weights\torch_lstm_only_1_60_18_6_10_False.pt
lstm_only,10,ON,0.43529173845285446,21.442415475845337,./torch_model_weights\torch_lstm_only_1_60_18_6_10_True.pt
lstm_only,20,OFF,0.4822003767890866,29.215458869934082,./torch_model_weights\torch_lstm_only_1_60_18_6_20_False.pt
lstm_only,20,ON,0.45911442406746666,30.680659770965576,./torch_model_weights\torch_lstm_only_1_60_18_6_20_True.pt
lstm_only,10,OFF,0.6161502789186655,28.833518266677856,./torch_model_weights\torch_lstm_only_2_32_18_6_10_False.pt
lstm_only,10,ON,0.45237418838191384,30.779650926589966,./torch_model_weights\torch_lstm_only_2_32_18_6_10_True.pt
lstm_only,20,OFF,0.46819933048024165,43.355863094329834,./torch_model_weights\torch_lstm_only_2_32_18_6_20_False.pt
lstm_only,20,ON,0.4768018843121209,46.749067068099976,./torch_model_weights\torch_lstm_only_2_32_18_6_20_True.pt
lstm_only,10,OFF,0.5129268669387689,28.54607582092285,./torch_model_weights\torch_lstm_only_2_60_18_6_10_False.pt
lstm_only,10,ON,0.4495499882823346,30.572945594787598,./torch_model_weights\torch_lstm_only_2_60_18_6_10_True.pt
lstm_only,20,OFF,0.6200373113028128,43.15520143508911,./torch_model_weights\torch_lstm_only_2_60_18_6_20_False.pt
lstm_only,20,ON,0.45342225162891725,46.56390404701233,./torch_model_weights\torch_lstm_only_2_60_18_6_20_True.pt
lstm_only,10,OFF,0.6233228876491675,35.94673442840576,./torch_model_weights\torch_lstm_only_3_32_18_6_10_False.pt
lstm_only,10,ON,0.45161100981759467,40.48542356491089,./torch_model_weights\torch_lstm_only_3_32_18_6_10_True.pt
lstm_only,20,OFF,0.6153095303188629,59.761285066604614,./torch_model_weights\torch_lstm_only_3_32_18_6_20_False.pt
lstm_only,20,ON,0.5073735845758545,65.08743095397949,./torch_model_weights\torch_lstm_only_3_32_18_6_20_True.pt
lstm_only,10,OFF,0.4893419206547859,36.51062560081482,./torch_model_weights\torch_lstm_only_3_60_18_6_10_False.pt
lstm_only,10,ON,0.48949906780586916,39.68205118179321,./torch_model_weights\torch_lstm_only_3_60_18_6_10_True.pt
lstm_only,20,OFF,0.614273398059932,59.10333466529846,./torch_model_weights\torch_lstm_only_3_60_18_6_20_False.pt
lstm_only,20,ON,0.48101068309335454,64.54233074188232,./torch_model_weights\torch_lstm_only_3_60_18_6_20_True.pt
conv_lstm,10,OFF,0.4944458481742066,22.587596893310547,./torch_model_weights\torch_conv_lstm_2_1_32_18_6_10_False.pt
conv_lstm,10,ON,0.5095079847000387,22.694746255874634,./torch_model_weights\torch_conv_lstm_2_1_32_18_6_10_True.pt
conv_lstm,20,OFF,0.49545746334044977,31.09635305404663,./torch_model_weights\torch_conv_lstm_2_1_32_18_6_20_False.pt
conv_lstm,20,ON,0.4910862764301932,31.09120488166809,./torch_model_weights\torch_conv_lstm_2_1_32_18_6_20_True.pt
conv_lstm,10,OFF,0.4513746344579319,22.595379114151,./torch_model_weights\torch_conv_lstm_2_1_60_18_6_10_False.pt
conv_lstm,10,ON,0.5166828256991152,22.332048892974854,./torch_model_weights\torch_conv_lstm_2_1_60_18_6_10_True.pt
conv_lstm,20,OFF,0.6108712277078099,32.098132610321045,./torch_model_weights\torch_conv_lstm_2_1_60_18_6_20_False.pt
conv_lstm,20,ON,0.47997972183805515,32.05356979370117,./torch_model_weights\torch_conv_lstm_2_1_60_18_6_20_True.pt
conv_lstm,10,OFF,0.6201327489250829,31.394449472427368,./torch_model_weights\torch_conv_lstm_2_2_32_18_6_10_False.pt
conv_lstm,10,ON,0.525847435306602,31.369826793670654,./torch_model_weights\torch_conv_lstm_2_2_32_18_6_10_True.pt
conv_lstm,20,OFF,0.6134649991038833,47.02822494506836,./torch_model_weights\torch_conv_lstm_2_2_32_18_6_20_False.pt
conv_lstm,20,ON,0.6149712334903936,46.99799180030823,./torch_model_weights\torch_conv_lstm_2_2_32_18_6_20_True.pt
conv_lstm,10,OFF,0.613185917110673,30.6579430103302,./torch_model_weights\torch_conv_lstm_2_2_60_18_6_10_False.pt
